|entry|Name                                 |
|-----|-------------------------------------|
|4    |Bonfire Damage                       |
|73   |Treasure Chest                       |
|74   |Treasure Chest                       |
|75   |Wooden Chest                         |
|129  |Naxx Teleporter trap                 |
|252  |I Should not be here B               |
|267  |Stasis Trap                          |
|275  |Bellowfiz Bubbles                    |
|323  |Arcanite Lode                        |
|1603 |Little Flame Emitter                 |
|1670 |Barrel of Powder                     |
|1682 |Quest Chest                          |
|1684 |Blacksmith's Anvil                   |
|1719 |Orc Lock                             |
|2053 |TWO-SOLUTION TEST                    |
|2067 |Serpent Ward                         |
|2085 |Singing Crystals                     |
|2531 |                                     |
|2549 |Cookie Test Chest                    |
|2557 |Altar of the Tides                   |
|2559 |Maury's Lock Test Chest              |
|2654 |Goblin Land Mine                     |
|2686 |Apothecary Table                     |
|2692 |Bottle 002                           |
|2693 |Bottle 003                           |
|2694 |Bottle 004                           |
|2696 |Bucket 001                           |
|2697 |Candlelabra 001                      |
|2698 |Cup 001                              |
|2699 |Blue Aura, column                    |
|2700 |Campfire                             |
|2705 |Shards of Myzrael                    |
|2723 |Bale of Hay                          |
|2735 |TEST Bombwagon                       |
|2736 |TEST Burning Book                    |
|2737 |TEST Cannon                          |
|2738 |TEST Burning Scroll                  |
|2847 |Tattered Chest                       |
|2851 |Iron Bound Chest                     |
|2853 |Iron Bound Chest                     |
|2854 |Iron Bound Chest                     |
|2856 |Iron Bound Chest                     |
|2861 |Lethlor Aura - 0                     |
|2862 |Lethlor Aura - 1                     |
|2863 |Lethlor Aura - 2                     |
|2864 |Lethlor Aura - 3                     |
|2865 |Lethlor Aura - 4                     |
|2869 |Ancient Chest                        |
|2873 |Blue aura, short column              |
|2874 |test lock object                     |
|2884 |Clam                                 |
|2885 |Large Crate                          |
|2886 |Barrel                               |
|2887 |Cauldron                             |
|2888 |Woodpile                             |
|2889 |Powder Keg                           |
|2890 |Full Mine Cart                       |
|2895 |TEST Lever                           |
|2903 |Blue aura, short column, scale 4     |
|3191 |Attack Plan: Razor Hill              |
|3218 |Burning Seed Circle of Power         |
|3219 |Scott's Cannon                       |
|3221 |Scott's Placed Cannon                |
|3271 |                                     |
|3272 |                                     |
|3274 |                                     |
|3275 |                                     |
|3454 |Instance Portal (Raid 4 Difficulties)|
|3645 |Ripe Watermelon                      |
|3657 |Abandoned Mine Car                   |
|3666 |Test Goober Barrel                   |
|3667 |Test Goober bombwagon                |
|3668 |Test Goober Book01                   |
|3669 |Test Goober BookOpenMedium01         |
|3670 |Test Goober BookTrapArm              |
|3671 |Test Goober BittpmBigRed             |
|3672 |Test Goober Cannon01                 |
|3673 |Test Goober Crate01                  |
|3674 |Test Goober Crate02                  |
|3675 |Test Goober DwarvenMemorial          |
|3676 |Test Goober FlyingMachine            |
|3677 |Test Goober JewelRed                 |
|3678 |Test Goober LeverMetal               |
|3679 |Test Goober MineCar                  |
|3680 |Test Goober RuneBlue                 |
|3681 |Test Goober RuneGroundBlue           |
|3682 |Test Goober Scroll01                 |
|3683 |Test Goober Torch01                  |
|3684 |Test Goober Watermelon               |
|3687 |Burning Shredder                     |
|3692 |Food Crate                           |
|3696 |Food Crate                           |
|3697 |Food Crate                           |
|3698 |Food Crate                           |
|3699 |Food Crate                           |
|3701 |Food Crate                           |
|3708 |Food Crate                           |
|3709 |Food Crate                           |
|3712 |Food Crate                           |
|3713 |Food Crate                           |
|3731 |Test Goober Crate01-a                |
|3732 |Test Goober Crate02-a                |
|3734 |Test Goober Fissure                  |
|3735 |Test Goober AlchemySet01             |
|3736 |Test Goober Fissure -a               |
|3825 |Burning Embers                       |
|3826 |Burning Embers                       |
|3827 |Burning Embers                       |
|3828 |Burning Embers                       |
|3829 |Burning Embers                       |
|3830 |Burning Embers                       |
|3831 |Burning Embers                       |
|3832 |Burning Embers                       |
|3833 |Burning Embers                       |
|3834 |Burning Embers                       |
|3835 |Burning Embers                       |
|3836 |Burning Embers                       |
|3837 |Burning Embers                       |
|3838 |Burning Embers                       |
|3858 |Fierce Blaze                         |
|3859 |Fierce Blaze                         |
|3860 |Fierce Blaze                         |
|3861 |Fierce Blaze                         |
|3863 |Fierce Blaze                         |
|3912 |Blazing Fire                         |
|3913 |Blazing Fire                         |
|3914 |Burning Embers                       |
|3915 |Blazing Fire                         |
|3916 |Burning Embers                       |
|3917 |Burning Embers                       |
|3918 |Burning Embers                       |
|3919 |Burning Embers                       |
|3920 |Burning Embers                       |
|3921 |Burning Embers                       |
|3922 |Blazing Fire                         |
|3923 |Blazing Fire                         |
|3924 |Blazing Fire                         |
|3925 |Blazing Fire                         |
|3926 |Blazing Fire                         |
|3927 |Blazing Fire                         |
|3928 |Blazing Fire                         |
|3929 |Blazing Fire                         |
|3930 |Blazing Fire                         |
